,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1694780781003,1.448,0.0,0,0,COMMIT,323867,1694780781001.552
5,1694780878382,1.161,0.0,0,0,COMMIT,323871,1694780878380.839
6,1694781076032,1.075,0.0,0,0,COMMIT,323881,1694781076030.925
7,1694781137340,2.106,0.075,1,410,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 6\
              AND OL_O_ID < 20078\
              AND OL_O_ID >= 20058\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",323886,1694781137337.894
8,1694781256527,1.306,0.0,0,0,COMMIT,323887,1694781256525.694
9,1694781257158,1.571,0.0,0,0,COMMIT,323890,1694781257156.429
12,1694780588303,3.061,0.0,0,0,COMMIT,323906,1694780588299.939
15,1694780630180,1.069,0.0,0,0,COMMIT,323908,1694780630178.931
16,1694780671333,1.019,0.0,0,0,COMMIT,323910,1694780671331.981
17,1694780755961,1.586,0.097,1,412,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 4\
              AND OL_O_ID < 20006\
              AND OL_O_ID >= 19986\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",323917,1694780755959.414
18,1694780807035,1.274,0.0,0,0,COMMIT,323911,1694780807033.726
19,1694780921617,1.3,0.0,0,0,COMMIT,323925,1694780921615.7
20,1694781279038,1.059,0.0,0,0,COMMIT,323938,1694781279036.941
21,1694781328187,1.081,0.0,0,0,ROLLBACK,323939,1694781328185.919
22,1694781347375,1.106,0.0,0,0,COMMIT,323934,1694781347373.894
23,1694780517464,1.208,0.0,0,0,COMMIT,323950,1694780517462.792
25,1694780576700,2.454,0.0,0,0,COMMIT,323953,1694780576697.546
29,1694780627595,1.313,0.087,1,392,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 10\
              AND OL_O_ID < 20286\
              AND OL_O_ID >= 20266\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",323957,1694780627593.687
30,1694780662751,1.53,0.0,0,0,COMMIT,323958,1694780662749.47
31,1694780663385,1.042,0.0,0,0,COMMIT,323959,1694780663383.958
32,1694781017317,1.174,0.0,0,0,COMMIT,323968,1694781017315.826
