Avg Threads Running,1,1,1.4,1.7,2.4,3.5,3.9,4.3,4.6000000000000005,5.2,5.7,6.3,6.199999999999999,6.199999999999999,6.2,5.8,5.9,5.8999999999999995,5.8,5.7,5.7,5.599999999999999,5.9,6,5.899999999999999,6.200000000000001,6.3,6.2,6.6,6.6000000000000005,6.7,6.9,6.699999999999999,6.4,6.6,6.3999999999999995,6.199999999999999,6.2,6.1,6.1,5.9,5.5,5.3999999999999995,5.5,5.3,5.1000000000000005,5.1,5.6,5.3,5.2,5.6,6,6.000000000000001,6,5.9,6.1,6.1,5.799999999999999,6.1,6.3,6.4,6.1,6.3,8.1,10.5,11.9,13.7,15.3,16.8,18.5,20.2,22,23.6,23.900000000000002,23.400000000000002,23.599999999999998,23.5,23.5,23.900000000000006,24.6,25.2,25.599999999999998,25.900000000000002,25.8,26,26.1,26.400000000000002,26.6,26.5,26.1,25.5,24.799999999999997,24.400000000000002,24.5,24.5,22.799999999999997,20.799999999999997,18.8,17.6,15.700000000000001,14.2,12.9,11.7,10.100000000000001,8.299999999999999,8.2,8.4,8.8,8.1,7.8,7.7,7.699999999999999,7.2,6.8,6.7,6.8,6.6,6.5,6.5,6.7,6.5
Peak Threads Connected,1,1,5,5,8,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,21,30,30,30,30,30,30,30,30,30,30,27,27,27,27,27,31,33,33,33,33,33,33,33,33,33,33,27,27,27,27,27,27,27,27,27,27,27,27,27,27,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,9
Peak Threads Running,1,1,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,21,21,21,21,21,21,21,21,21,21,20,19,19,19,19,21,21,21,21,21,21,21,21,21,21,19,23,23,23,23,23,23,23,23,23,23,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Questions,38,37.55555555555556,48.44444444444444,216.44444444444443,342,484.11111111111114,618.8888888888889,722.7777777777778,839.6666666666667,953.4444444444446,1078.4444444444446,1197,1184.111111111111,1190.5555555555557,1143.888888888889,1100.111111111111,1145.888888888889,1184.4444444444446,1167.111111111111,1141.888888888889,1128.4444444444446,1091.2222222222222,1116.2222222222222,1129.6666666666667,1126.888888888889,1098.4444444444446,1082.7777777777778,1084.888888888889,1096.888888888889,1099.2222222222222,1108.888888888889,1094.5555555555557,1101.6666666666667,1179.6666666666667,1156.4444444444446,1132.2222222222222,1155.888888888889,1187.3333333333335,1209.5555555555557,1217.2222222222222,1202.111111111111,1200.3333333333335,1174.4444444444446,1179.3333333333335,1185.2222222222222,1199.4444444444446,1162.7777777777778,1156.5555555555557,1158.888888888889,1155.4444444444446,1169.4444444444446,1129.7777777777778,1130.5555555555557,1137.3333333333335,1117.3333333333335,1125,1150.111111111111,1117.888888888889,1142.7777777777778,1130.2222222222222,1143.7777777777778,1177.5555555555557,1195.888888888889,1225.5555555555557,1173.888888888889,1111.2222222222222,1122,1047.3333333333335,1054.2222222222222,1036.6666666666667,1004.1111111111111,971.8888888888889,941.5555555555557,1009.2222222222223,1021,1004.5555555555557,1042.5555555555557,1018,1044.111111111111,1071.7777777777778,1072.9837813819152,1105.111111111111,1090.7777777777778,1110.111111111111,1106,1106.7777777777778,1146.5555555555557,1142.7777777777778,1115,1099.0220048899755,1063,1058.2222222222222,1023.1111111111111,1025.3333333333335,1034.5555555555557,1046.3333333333335,1058.2222222222222,1091.2222222222222,1099.5555555555557,1134.7777777777778,1144.111111111111,1172,1196.888888888889,1221.111111111111,1216.4444444444446,1199.3333333333335,1168.3333333333335,1195.6666666666667,1159.4444444444446,1135.3333333333335,1144.3333333333335,1161.111111111111,1158.2222222222222,1131.888888888889,1136.111111111111,1143.111111111111,1143,1152.111111111111,1182,1158,1149.888888888889
Threads Created,0,0,0.6666666666666667,1,1,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,0.7777777777777779,0.4444444444444445,0.4444444444444445,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4444444444444444,2.111111111111111,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.7777777777777777,2.7777777777777777,1.3333333333333335,0.6666666666666667,0.4444444444444445,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.6665185514330149,0.888888888888889,0.888888888888889,0.888888888888889,0.7777777777777779,0.888888888888889,0.888888888888889,0.888888888888889,0.6666666666666667,0.33340742387197153,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.22222222222222224,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0.11111111111111112
Created Tmp Disk Tables,8.88888888888889,8.88888888888889,8.777777777777779,9,8.88888888888889,9.222222222222223,8.777777777777779,9.11111111111111,9.11111111111111,9.11111111111111,9,9.11111111111111,8.88888888888889,9,9,9.11111111111111,9,9,8.777777777777779,8.88888888888889,9,9.222222222222223,9.222222222222223,9,8.88888888888889,9,9.11111111111111,9.11111111111111,9,9.11111111111111,8.777777777777779,8.777777777777779,9,9.222222222222223,8.777777777777779,8.777777777777779,8.88888888888889,9,8.88888888888889,9,9.222222222222223,8.88888888888889,8.88888888888889,9.222222222222223,9,9.11111111111111,9,9.11111111111111,9.222222222222223,8.777777777777779,9.11111111111111,9.11111111111111,8.88888888888889,9,8.88888888888889,9,8.777777777777779,9,9.222222222222223,8.777777777777779,8.777777777777779,9.11111111111111,9.222222222222223,9.222222222222223,9.222222222222223,9.11111111111111,9,9,9.222222222222223,9.11111111111111,9,8.88888888888889,8.777777777777779,9,9.11111111111111,8.777777777777779,8.777777777777779,8.88888888888889,9,8.88888888888889,8.886914019106865,9.11111111111111,8.777777777777779,9,9,9.11111111111111,9.11111111111111,8.88888888888889,9.11111111111111,9.22427206045788,9,9,8.88888888888889,9.222222222222223,9,8.88888888888889,9,9,8.777777777777779,9.11111111111111,9.222222222222223,9,8.88888888888889,9,9.11111111111111,9.222222222222223,8.88888888888889,9,8.88888888888889,8.88888888888889,9,9.11111111111111,9.11111111111111,9,8.777777777777779,8.88888888888889,9.222222222222223,9,8.88888888888889,9,8.88888888888889
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.5487777777777778,4.719488888888889,7.573133333333334,9.109711111111112,10.64628888888889,12.731644444444445,13.06091111111111,13.938955555555557,14.377977777777778,15.444444444444446,14.444444444444446,15.11111111111111,13.777777777777777,14.11111111111111,14.555555555555557,17.22222222222222,18.444444444444446,19.11111111111111,17.77777777777778,14.666666666666668,15,17,16.444444444444446,19,17.88888888888889,16,16.555555555555557,18.555555555555557,21.666666666666668,21.666666666666668,19.77777777777778,20.88888888888889,15.777777777777777,14.222222222222223,16.333333333333336,18.22222222222222,17.333333333333336,16.444444444444446,13.88888888888889,14.777777777777777,13.555555555555557,13.555555555555557,15.777777777777777,18.77777777777778,15.777777777777777,17,14.777777777777777,14.666666666666668,14.777777777777777,15.444444444444446,17,17.77777777777778,15.777777777777777,17.77777777777778,17.666666666666668,18.88888888888889,20.11111111111111,20.77777777777778,20.333333333333336,21,21.555555555555557,23.666666666666668,22.22222222222222,20.77777777777778,20.22222222222222,18.11111111111111,18.11111111111111,19.22222222222222,20.22222222222222,20.666666666666668,18.444444444444446,21.88888888888889,22.22222222222222,22.555555555555557,23.666666666666668,22.22222222222222,20.333333333333336,19.333333333333336,15.885358809153521,15,11.222222222222223,12.666666666666668,12.777777777777779,11.777777777777779,15,17.22222222222222,16.88888888888889,17.226050233385198,15,16.77777777777778,16.11111111111111,15.444444444444446,16.88888888888889,16.333333333333336,15.333333333333334,14.777777777777777,16,18.77777777777778,17.11111111111111,15.333333333333334,15.88888888888889,14.88888888888889,12.444444444444446,11.777777777777779,11.333333333333334,12.444444444444446,10.222222222222223,9.555555555555555,10.555555555555555,9.777777777777779,11.222222222222223,11.666666666666668,10.555555555555555,11.555555555555555,9.11111111111111,10,11,13,14.222222222222223
