,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1694779668002,1.5,0.0,0,0,COMMIT,303018,1694779668000.5
4,1694779798125,7.952,0.143,1,396,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 7\
              AND OL_O_ID < 20251\
              AND OL_O_ID >= 20231\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",303024,1694779798117.048
5,1694779804532,1.266,0.0,0,0,COMMIT,303022,1694779804530.734
6,1694779988285,1.336,0.0,0,0,COMMIT,303026,1694779988283.664
7,1694779124938,1.02,0.0,0,0,COMMIT,303034,1694779124936.98
13,1694779280040,1.113,0.0,0,0,COMMIT,303042,1694779280038.887
14,1694779369936,1.089,0.0,0,0,COMMIT,303041,1694779369934.911
15,1694779379491,3.784,0.097,1,412,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 10\
              AND OL_O_ID < 20045\
              AND OL_O_ID >= 20025\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",303048,1694779379487.216
16,1694779418915,4.035,0.108,1,418,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 1\
              AND OL_O_ID < 20080\
              AND OL_O_ID >= 20060\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",303050,1694779418910.965
17,1694779492975,1.395,0.0,0,0,COMMIT,303043,1694779492973.605
18,1694779506653,1.021,0.0,0,0,COMMIT,303052,1694779506651.979
19,1694779669757,1.046,0.108,1,412,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 10\
              AND OL_O_ID < 20045\
              AND OL_O_ID >= 20025\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",303061,1694779669755.954
20,1694779994279,235.86,0.062,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 7069",303064,1694779994043.14
21,1694779994770,287.283,0.077,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 34782",303062,1694779994482.717
22,1694779994778,3.56,0.127,1,1,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 1 AND C_D_ID = 10 AND C_LAST = 'PRESEINGATION' ORDER BY C_FIRST",303076,1694779994774.44
23,1694779995041,28.851,0.143,4,4,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 1 AND C_D_ID = 3 AND C_LAST = 'ABLEPRESPRES' ORDER BY C_FIRST",303075,1694779995012.149
24,1694779995185,227.574,0.126,1,1,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 4 AND C_D_ID = 9 AND C_LAST = 'ANTIANTIATION' ORDER BY C_FIRST",303065,1694779994957.426
25,1694779995263,208.183,0.092,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 2414",303066,1694779995054.817
26,1694779995692,378.666,0.063,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 92234",303059,1694779995313.334
27,1694779995924,336.392,0.053,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 25598",303060,1694779995587.608
28,1694779996044,204.397,0.071,1,1,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_BALANCE FROM customer WHERE C_W_ID = 2 AND C_D_ID = 8 AND C_ID = 1255",303067,1694779995839.603
29,1694779996152,399.777,0.077,3,3,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 3 AND C_D_ID = 6 AND C_LAST = 'BAROUGHTABLE' ORDER BY C_FIRST",303058,1694779995752.223
30,1694779996366,27.598,0.07,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 97980",303074,1694779996338.402
31,1694779996422,128.154,0.081,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 76058",303069,1694779996293.846
32,1694779997031,246.317,0.086,2,2,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_BALANCE FROM customer WHERE C_W_ID = 3 AND C_D_ID = 8 AND C_LAST = 'PRESEINGATION' ORDER BY C_FIRST",303063,1694779996784.683
33,1694780000172,109.673,0.114,1,1,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 3 AND C_D_ID = 10 AND C_LAST = 'PRIANTIATION' ORDER BY C_FIRST",303071,1694780000062.327
34,1694780000407,128.138,0.115,1,1,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 3 AND C_D_ID = 10 AND C_ID = 2915",303070,1694780000278.862
35,1694780001257,68.045,0.176,1,1,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 1 AND C_D_ID = 5 AND C_ID = 880",303073,1694780001188.955
36,1694780001392,428.876,0.104,2,2,"SELECT C_ID, C_FIRST, C_MIDDLE, C_LAST, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_SINCE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_DATA FROM customer WHERE C_W_ID = 3 AND C_D_ID = 1 AND C_LAST = 'PRESPRIBAR' ORDER BY C_FIRST",303056,1694780000963.124
37,1694780002045,434.484,0.063,1,1,"SELECT S_QUANTITY, S_DATA, S_YTD, S_ORDER_CNT, S_REMOTE_CNT, S_DIST_10 FROM stock WHERE S_I_ID = 1374 AND S_W_ID = 3",303053,1694780001610.516
38,1694780002634,88.036,0.066,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 17708",303072,1694780002545.964
