,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
9,1695011541039,1.233,0.0,0,0,COMMIT,66141,1695011541037.767
10,1695011570949,1.006,0.0,0,0,COMMIT,66143,1695011570947.994
11,1695011595362,1.153,0.0,0,0,COMMIT,66145,1695011595360.847
12,1695011671769,1.189,0.0,0,0,COMMIT,66142,1695011671767.811
13,1695011879161,1.12,0.0,0,0,COMMIT,66144,1695011879159.88
14,1695011941703,1.018,0.0,0,0,COMMIT,66152,1695011941701.982
15,1695012005448,1.068,0.0,0,0,COMMIT,66160,1695012005446.932
16,1695012068211,1.086,0.0,0,0,COMMIT,66163,1695012068209.914
17,1695012103643,1.272,0.0,0,0,COMMIT,66158,1695012103641.728
18,1695012298365,1.069,0.0,0,0,COMMIT,66169,1695012298363.931
19,1695011374557,1.098,0.0,0,0,COMMIT,66166,1695011374555.902
22,1695011446213,2.43,0.0,0,0,COMMIT,66175,1695011446210.57
25,1695011535216,1.047,0.0,0,0,COMMIT,66179,1695011535214.953
26,1695011601095,1.252,0.0,0,0,COMMIT,66182,1695011601093.748
27,1695011640087,1.336,0.087,1,418,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 1\
              AND OL_O_ID < 25777\
              AND OL_O_ID >= 25757\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",66184,1695011640085.664
28,1695011782873,1.034,0.0,0,0,COMMIT,66174,1695011782871.966
29,1695011856161,1.057,0.0,0,0,COMMIT,66176,1695011856159.943
30,1695011937490,1.129,0.0,0,0,COMMIT,66196,1695011937488.871
31,1695011993086,1.058,0.0,0,0,COMMIT,66190,1695011993084.942
32,1695012071967,1.826,0.093,1,378,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 4\
              AND OL_O_ID < 25915\
              AND OL_O_ID >= 25895\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",66202,1695012071965.174
33,1695012088402,1.007,0.0,0,0,COMMIT,66193,1695012088400.993
34,1695012178721,1.043,0.0,0,0,COMMIT,66181,1695012178719.957
35,1695012219062,1.104,0.095,1,402,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 3\
              AND OL_O_ID < 25750\
              AND OL_O_ID >= 25730\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",66207,1695012219060.896
36,1695012219781,1.108,0.0,0,0,COMMIT,66206,1695012219779.892
37,1695012240051,1.044,0.0,0,0,COMMIT,66203,1695012240049.956
38,1695012251319,1.587,0.091,1,442,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 5\
              AND OL_O_ID < 25671\
              AND OL_O_ID >= 25651\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",66210,1695012251317.413
39,1695011418197,1.016,0.0,0,0,ROLLBACK,66212,1695011418195.984
44,1695011516355,1.084,0.0,0,0,COMMIT,66219,1695011516353.916
45,1695011517065,1.12,0.0,0,0,COMMIT,66220,1695011517063.88
46,1695011562523,1.015,0.0,0,0,COMMIT,66221,1695011562521.985
47,1695011620484,1.031,0.0,0,0,COMMIT,66224,1695011620482.969
48,1695011642880,1.031,0.0,0,0,COMMIT,66225,1695011642878.969
49,1695011795698,1.108,0.0,0,0,COMMIT,66233,1695011795696.892
50,1695011832021,1.211,0.0,0,0,COMMIT,66223,1695011832019.789
51,1695011884368,1.325,0.0,0,0,COMMIT,66230,1695011884366.675
