Avg Threads Running,1,1,1.1,1.7,2.1,2.3000000000000003,2.8000000000000003,3.5,3.9,4.4,4.7,5.199999999999999,5.599999999999999,5.6,5.699999999999999,6.1,6,5.7,5.9,6.300000000000001,6.3,6.1,6.3999999999999995,6.3,6.199999999999999,6,6.199999999999999,6.799999999999999,7.1,6.8,6.8,6.8999999999999995,6.900000000000001,6.9,6.6,6.9,6.4,6,5.8,5.300000000000001,5.5,5.3,5.300000000000001,5.5,5.9,5.500000000000001,6.2,6.3,6.1,6.5,6.1,6.3,6.1,6.2,6,6.1,5.6,5.300000000000001,5.7,5.6000000000000005,5.700000000000001,5.6,5.4,5.5,6.2,6.9,7.600000000000001,8.8,9.7,10.5,11.200000000000001,11.6,12.200000000000001,12.7,12.6,12.7,12.200000000000001,11.7,11.200000000000003,10.5,10.5,10.600000000000001,10.599999999999998,10.299999999999999,10,9.5,9.899999999999999,9.899999999999999,10,10.2,10,10.1,9.9,9.899999999999999,10.1,10.100000000000001,9.899999999999999,9.9,9.700000000000001,9.5,9.5,10.1,10.2,10.2,10.300000000000002,10.6,11,11,11.200000000000001,11.777777777777779,12.25,13.25,13.125,13.875,14.5,15,15.571428571428571,15.714285714285712,15.428571428571427,15.624999999999998,15.624999999999998
Peak Threads Connected,1,1,2,7,7,7,7,8,8,8,8,8,8,8,8,8,8,7,7,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,11,12,12,17,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,13,13,13,16,16,16,16,16,16,16,16,16,16,24,24,24,24,24,24,24,24,24,24
Peak Threads Running,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5
Questions,38.111111111111114,38.22222222222222,38.333333333333336,141.77777777777777,271.77777777777777,386.11111111111114,500.33333333333337,612.2222222222223,727.9804270462633,840.4444444444446,952.3333333333334,1051.111111111111,1062.5555555555557,1029.6666666666667,1045.888888888889,1042.3333333333335,1068.6666666666667,1053.3333333333335,1026.4444444444446,1049.6666666666667,1071.5555555555557,1052.111111111111,1082.6666666666667,1063.5555555555557,1056.888888888889,1034.5555555555557,1040.5555555555557,1068.888888888889,1068.5555555555557,1093.6666666666667,1132.5555555555557,1122.888888888889,1131,1165.5555555555557,1164.3333333333335,1174.888888888889,1198.5555555555557,1188,1186.5555555555557,1181.5555555555557,1202.4444444444446,1198.3333333333335,1163.3333333333335,1160.111111111111,1152.6666666666667,1128.3333333333335,1136.111111111111,1100.4444444444446,1086.7777777777778,1072.2222222222222,1083.7777777777778,1096.6666666666667,1130.7777777777778,1140,1130.7777777777778,1111.2222222222222,1125,1104.3333333333335,1118,1143.4444444444446,1127.3333333333335,1090.5555555555557,1097.7777777777778,1090.888888888889,1092.2222222222222,1073.3333333333335,1111.6666666666667,1097.4444444444446,1077.111111111111,1119,1131.7777777777778,1113.888888888889,1129,1107.6666666666667,1152.3333333333335,1141.6666666666667,1124.4444444444446,1084,1075.3333333333335,1098.7777777777778,1109.5555555555557,1095.7777777777778,1126.888888888889,1124.4444444444446,1127.3333333333335,1139.111111111111,1195.3333333333335,1172.7777777777778,1118.4444444444446,1125.4444444444446,1135.2222222222222,1121.111111111111,1106.5555555555557,1109.111111111111,1095.111111111111,1072.4444444444446,1089.7777777777778,1119.2222222222222,1127,1154.2222222222222,1150.111111111111,1147.4444444444446,1152.2222222222222,1158.2222222222222,1154.3333333333335,1165.4444444444446,1154.5555555555557,1144.7777777777778,1143.2222222222222,1004.463,884.8053142857141,1152.079866888519,1155.4444444444446,1159.6666666666667,1154.6666666666667,1030.25145,1166.4079822616409,1143,959.3663027916964,1107.2010018785222,962.4186537257358
Threads Created,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11120996441281139,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,3.1111111111111116,3.1111111111111116,3.1111111111111116,3,2.888888888888889,3,3,3,3,0.11111111111111112,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444445,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.7777777777777779,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4444444444444445,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444445,0.4444444444444445,0.4311,0.4355428571428571,1.4420410427066,1.3333333333333335,1.5555555555555558,1.5555555555555558,1.5380166666666666,2.106430155210643,2.111111111111111,0.8463218802195179,0.8766437069505322,0.7620100187852222
Created Tmp Disk Tables,9.222222222222223,9.222222222222223,9,9.11111111111111,8.88888888888889,8.88888888888889,8.88888888888889,9.222222222222223,9.119217081850534,8.88888888888889,9,9,9,8.88888888888889,9.11111111111111,9.11111111111111,8.777777777777779,9,8.88888888888889,8.777777777777779,9.11111111111111,9,9.222222222222223,9.11111111111111,8.88888888888889,9.222222222222223,9,9,9,9,8.88888888888889,8.88888888888889,8.88888888888889,9,8.777777777777779,9,9.222222222222223,9.222222222222223,8.88888888888889,8.88888888888889,9,9,9,9.222222222222223,8.88888888888889,8.777777777777779,9,8.88888888888889,9.222222222222223,8.88888888888889,9.11111111111111,9.11111111111111,8.777777777777779,9.11111111111111,9.11111111111111,9,9.222222222222223,8.777777777777779,9.222222222222223,8.777777777777779,9,9.11111111111111,8.777777777777779,9.11111111111111,9,8.777777777777779,9.222222222222223,8.777777777777779,9,9,9,9.222222222222223,9,8.777777777777779,9,8.777777777777779,9.222222222222223,9.222222222222223,9,8.88888888888889,8.777777777777779,8.777777777777779,9,9,9.11111111111111,9,8.777777777777779,8.777777777777779,9.222222222222223,9.11111111111111,9.11111111111111,9.11111111111111,9.11111111111111,9.11111111111111,9,9.222222222222223,9.222222222222223,9,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,9,8.88888888888889,8.88888888888889,8.777777777777779,8.777777777777779,8.777777777777779,9.222222222222223,7.975350000000001,6.8598,8.985024958402661,9,9,9,7.9098,9.09090909090909,9,7.616896921975661,8.89167188478397,7.728958761964397
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,0.22222222222222224,4.777777777777778,8.222222222222223,8.333333333333334,8.88888888888889,13.45640569395018,14.666666666666668,15.11111111111111,16.333333333333336,20.333333333333336,18.444444444444446,18.11111111111111,19.11111111111111,20.11111111111111,17.11111111111111,17.22222222222222,16.88888888888889,16.88888888888889,13.88888888888889,13.333333333333334,12.777777777777779,12.333333333333334,11.333333333333334,11.88888888888889,13,16,17.22222222222222,18,18.333333333333336,16.88888888888889,16.555555555555557,18.444444444444446,17.555555555555557,16.22222222222222,14,14.222222222222223,14.666666666666668,14.88888888888889,15.666666666666668,15.444444444444446,13.333333333333334,13.444444444444446,14.777777777777777,15.333333333333334,12.88888888888889,15,16.666666666666668,16.11111111111111,16.88888888888889,17.333333333333336,20.88888888888889,20.444444444444446,21.555555555555557,23.11111111111111,20.22222222222222,18.22222222222222,20.77777777777778,20.88888888888889,22,19.444444444444446,18.77777777777778,17.666666666666668,17.88888888888889,19.555555555555557,18.333333333333336,16.88888888888889,19.11111111111111,17.555555555555557,15.333333333333334,15.222222222222223,14.444444444444446,14.333333333333334,12.222222222222223,11.222222222222223,8.88888888888889,7.666666666666667,10,12.333333333333334,11.444444444444445,13,13.88888888888889,14.666666666666668,15.444444444444446,20.88888888888889,21.77777777777778,20.22222222222222,18.88888888888889,20.555555555555557,20,17.444444444444446,18.555555555555557,19.22222222222222,14.88888888888889,15.555555555555557,14.777777777777777,17,17.88888888888889,17.555555555555557,23,24.333333333333336,23.333333333333336,24,21.77777777777778,24.555555555555557,24,22.444444444444446,20.47725,15.135114285714284,18.080976150859676,18.666666666666668,19.77777777777778,22.11111111111111,18.785774999999997,19.17960088691796,18.22222222222222,14.145665712240511,17.407639323731996,15.13134180159227
