,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
7,1694780980965,1.181,0.0,0,0,COMMIT,330734,1694780980963.819
10,1694781008698,1.338,0.0,0,0,COMMIT,330737,1694781008696.662
12,1694781029487,1.099,0.0,0,0,COMMIT,330738,1694781029485.901
13,1694781054326,1.021,0.0,0,0,COMMIT,330739,1694781054324.979
14,1694781113043,1.123,0.0,0,0,COMMIT,330733,1694781113041.877
15,1694781228732,1.241,0.0,0,0,COMMIT,330747,1694781228730.759
16,1694781229459,1.82,0.0,0,0,COMMIT,330746,1694781229457.18
17,1694781248788,3.65,0.065,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (20207, '02', 4, 1, 60628, 4, '2023-09-15 20:27:20.319869', 1, 61.68, 'TxMASJoqMXlzGkPDl0B1PCi9')",330743,1694781248784.35
18,1694781299630,1.201,0.0,0,0,COMMIT,330749,1694781299628.799
19,1694781346050,1.098,0.0,0,0,COMMIT,330751,1694781346048.902
20,1694781354714,1.141,0.0,0,0,COMMIT,330748,1694781354712.859
21,1694781422680,1.013,0.0,0,0,COMMIT,330745,1694781422678.987
22,1694781550706,1.06,0.0,0,0,COMMIT,330763,1694781550704.94
23,1694781610949,1.035,0.0,0,0,COMMIT,330756,1694781610947.965
24,1694781782648,1.23,0.0,0,0,COMMIT,330765,1694781782646.77
25,1694780920757,1.893,0.089,1,398,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 2\
              AND OL_O_ID < 20439\
              AND OL_O_ID >= 20419\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",330781,1694780920755.107
28,1694780986882,1.803,0.0,0,0,COMMIT,330782,1694780986880.197
31,1694781025194,1.48,0.0,0,0,COMMIT,330784,1694781025192.52
32,1694781049067,1.63,0.0,0,0,COMMIT,330785,1694781049065.37
33,1694781424988,1.052,0.0,0,0,COMMIT,330802,1694781424986.948
34,1694781563025,1.104,0.0,0,0,ROLLBACK,330806,1694781563023.896
35,1694781637342,1.042,0.0,0,0,COMMIT,330808,1694781637340.958
36,1694781683280,1.161,0.0,0,0,COMMIT,330816,1694781683278.839
37,1694781750312,1.085,0.072,12,12,"SELECT OL_SUPPLY_W_ID, OL_I_ID, OL_QUANTITY, OL_AMOUNT, OL_DELIVERY_D FROM order_line WHERE OL_W_ID = 2 AND OL_D_ID = 1 AND OL_O_ID = 18806",330820,1694781750310.915
38,1694781808455,1.618,0.0,0,0,COMMIT,330821,1694781808453.382
39,1694780921314,1.099,0.086,1,9,SELECT SUM(OL_AMOUNT) FROM order_line WHERE OL_O_ID = 20358 AND OL_D_ID = 3 AND OL_W_ID = 2,330823,1694780921312.901
44,1694781038172,1.028,0.0,0,0,COMMIT,330822,1694781038170.972
45,1694781062484,1.262,0.0,0,0,COMMIT,330824,1694781062482.738
46,1694781101810,1.514,0.079,1,396,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 5\
              AND OL_O_ID < 20303\
              AND OL_O_ID >= 20283\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",330832,1694781101808.486
47,1694781219169,1.08,0.0,0,0,COMMIT,330834,1694781219167.92
48,1694781297530,1.018,0.0,0,0,COMMIT,330837,1694781297528.982
49,1694781357584,1.003,0.0,0,0,COMMIT,330826,1694781357582.997
50,1694781405976,1.174,0.0,0,0,COMMIT,330829,1694781405974.826
51,1694781676122,1.024,0.0,0,0,COMMIT,330851,1694781676120.976
52,1694781796801,1.689,0.072,1,390,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 10\
              AND OL_O_ID < 20122\
              AND OL_O_ID >= 20102\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",330857,1694781796799.311
53,1694780866968,1.098,0.0,0,0,COMMIT,330858,1694780866966.902
54,1694780949121,1.061,0.0,0,0,COMMIT,330862,1694780949119.939
60,1694781050724,1.078,0.0,0,0,COMMIT,330867,1694781050722.922
61,1694781085893,1.026,0.0,0,0,COMMIT,330854,1694781085891.974
62,1694781102939,1.006,0.0,0,0,COMMIT,330853,1694781102937.994
63,1694781105120,1.079,0.0,0,0,COMMIT,330859,1694781105118.921
64,1694781105458,1.233,0.0,0,0,COMMIT,330861,1694781105456.767
65,1694781111000,1.158,0.0,0,0,COMMIT,330870,1694781110998.842
66,1694781219798,1.073,0.061,15,15,"SELECT OL_SUPPLY_W_ID, OL_I_ID, OL_QUANTITY, OL_AMOUNT, OL_DELIVERY_D FROM order_line WHERE OL_W_ID = 3 AND OL_D_ID = 3 AND OL_O_ID = 16672",330875,1694781219796.927
67,1694781364459,1.281,0.0,0,0,COMMIT,330871,1694781364457.719
68,1694781383551,1.169,0.0,0,0,COMMIT,330872,1694781383549.831
69,1694781425957,1.024,0.0,0,0,COMMIT,330883,1694781425955.976
70,1694781466529,1.057,0.0,0,0,COMMIT,330879,1694781466527.943
71,1694781554503,1.723,0.0,0,0,COMMIT,330888,1694781554501.277
72,1694781676060,1.045,0.0,0,0,COMMIT,330894,1694781676058.955
73,1694781676596,1.473,0.0,0,0,COMMIT,330890,1694781676594.527
74,1694781766791,1.074,0.0,0,0,COMMIT,330898,1694781766789.926
75,1694780930958,1.077,0.0,0,0,COMMIT,330908,1694780930956.923
79,1694781064199,1.546,0.096,1,404,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 8\
              AND OL_O_ID < 20168\
              AND OL_O_ID >= 20148\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",330914,1694781064197.454
80,1694781732074,1.377,0.0,0,0,ROLLBACK,330940,1694781732072.623
81,1694781796190,1.081,0.0,0,0,COMMIT,330943,1694781796188.919
84,1694780999919,1.088,0.0,0,0,COMMIT,330954,1694780999917.912
87,1694781357234,1.296,0.0,0,0,COMMIT,330963,1694781357232.704
88,1694781375519,1.118,0.0,0,0,COMMIT,330972,1694781375517.882
89,1694781472123,1.037,0.0,0,0,COMMIT,330977,1694781472121.963
90,1694781613952,1.039,0.0,0,0,COMMIT,330983,1694781613950.961
91,1694781730972,1.058,0.0,0,0,COMMIT,330987,1694781730970.942
92,1694781780633,1.446,0.0,0,0,COMMIT,330982,1694781780631.554
93,1694781794599,1.012,0.0,0,0,COMMIT,330985,1694781794597.988
94,1694781813487,1.03,0.0,0,0,COMMIT,330992,1694781813485.97
95,1694780886834,1.251,0.0,0,0,COMMIT,330988,1694780886832.749
96,1694780893507,1.038,0.0,0,0,ROLLBACK,330994,1694780893505.962
101,1694781020409,1.644,0.0,0,0,COMMIT,330993,1694781020407.356
102,1694781050025,1.053,0.0,0,0,COMMIT,330995,1694781050023.947
103,1694781194965,1.137,0.0,0,0,COMMIT,331003,1694781194963.863
104,1694781308120,1.064,0.0,0,0,COMMIT,331010,1694781308118.936
105,1694781350102,1.162,0.0,0,0,COMMIT,331012,1694781350100.838
106,1694781360195,1.003,0.0,0,0,ROLLBACK,331011,1694781360193.997
107,1694781405762,1.071,0.0,0,0,COMMIT,331014,1694781405760.929
108,1694781431929,1.149,0.0,0,0,COMMIT,331016,1694781431927.851
109,1694781497989,1.781,0.096,1,396,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 1\
              AND OL_O_ID < 20185\
              AND OL_O_ID >= 20165\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",331023,1694781497987.219
110,1694781507109,1.016,0.0,0,0,COMMIT,331022,1694781507107.984
111,1694781585060,1.022,0.0,0,0,COMMIT,331013,1694781585058.978
112,1694781683739,1.012,0.0,0,0,COMMIT,331026,1694781683737.988
113,1694781796086,1.657,0.093,1,416,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 7\
              AND OL_O_ID < 20430\
              AND OL_O_ID >= 20410\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",331035,1694781796084.343
114,1694781844395,1.066,0.0,0,0,COMMIT,331038,1694781844393.934
115,1694780907971,1.088,0.0,0,0,COMMIT,331032,1694780907969.912
116,1694780924428,1.028,0.0,0,0,COMMIT,331028,1694780924426.972
117,1694780961286,1.112,0.0,0,0,COMMIT,331037,1694780961284.888
123,1694781043268,1.213,0.0,0,0,COMMIT,331046,1694781043266.787
124,1694781230425,1.143,0.0,0,0,COMMIT,331036,1694781230423.857
