,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1694781446978,1.247,0.0,0,0,COMMIT,337473,1694781446976.753
5,1694781482731,1.094,0.0,0,0,COMMIT,337474,1694781482729.906
6,1694781509332,1.03,0.0,0,0,COMMIT,337472,1694781509330.97
7,1694781536419,1.03,0.0,0,0,COMMIT,337476,1694781536417.97
8,1694781718022,1.035,0.0,0,0,COMMIT,337483,1694781718020.965
9,1694781905243,1.046,0.0,0,0,COMMIT,337488,1694781905241.954
10,1694781965066,1.031,0.0,0,0,COMMIT,337484,1694781965064.969
11,1694782061989,1.013,0.0,0,0,COMMIT,337491,1694782061987.987
12,1694781168560,1.095,0.0,0,0,COMMIT,337498,1694781168558.905
13,1694781229255,1.038,0.0,0,0,COMMIT,337500,1694781229253.962
16,1694781262619,1.271,0.0,0,0,COMMIT,337502,1694781262617.729
20,1694781303607,1.052,0.0,0,0,COMMIT,337496,1694781303605.948
21,1694781327223,1.295,0.07,1,324,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 9\
              AND OL_O_ID < 20404\
              AND OL_O_ID >= 20384\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",337506,1694781327221.705
22,1694781385447,1.119,0.0,0,0,COMMIT,337509,1694781385445.881
23,1694781690662,1.05,0.0,0,0,COMMIT,337516,1694781690660.95
24,1694781748163,1.015,0.0,0,0,COMMIT,337521,1694781748161.985
25,1694781903945,1.034,0.0,0,0,COMMIT,337531,1694781903943.966
26,1694781977036,1.395,0.113,1,412,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 3\
              AND OL_O_ID < 20543\
              AND OL_O_ID >= 20523\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",337535,1694781977034.605
27,1694782010239,1.165,0.0,0,0,COMMIT,337534,1694782010237.835
28,1694782023222,1.393,0.084,1,388,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 4\
              AND OL_O_ID < 20414\
              AND OL_O_ID >= 20394\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",337537,1694782023220.607
32,1694781391113,1.004,0.0,0,0,COMMIT,337539,1694781391111.996
33,1694781441225,1.375,0.082,1,384,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 3\
              AND OL_O_ID < 20348\
              AND OL_O_ID >= 20328\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",337553,1694781441223.625
34,1694781481732,1.441,0.0,0,0,COMMIT,337542,1694781481730.559
35,1694781520863,1.456,0.061,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (20169, 10, 2, 2, 34520, 2, '2023-09-15 20:31:57.234999', 6, 597.18, 'UgfxoUVSaWqSrKdzOnRgvx5V')",337550,1694781520861.544
36,1694781538046,1.199,0.0,0,0,COMMIT,337555,1694781538044.801
37,1694781588697,1.002,0.0,0,0,COMMIT,337557,1694781588695.998
38,1694781665272,1.085,0.0,0,0,COMMIT,337561,1694781665270.915
39,1694781833994,1.176,0.0,0,0,COMMIT,337566,1694781833992.824
40,1694781863303,1.027,0.0,0,0,COMMIT,337562,1694781863301.973
41,1694781873078,1.474,0.0,0,0,COMMIT,337554,1694781873076.526
42,1694781930336,1.564,0.087,1,418,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 8\
              AND OL_O_ID < 20297\
              AND OL_O_ID >= 20277\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",337573,1694781930334.436
43,1694782027513,1.186,0.0,0,0,COMMIT,337576,1694782027511.814
44,1694782072029,1.078,0.0,0,0,COMMIT,337577,1694782072027.922
45,1694782104255,1.106,0.0,0,0,COMMIT,337578,1694782104253.894
46,1694781150496,1.067,0.0,0,0,COMMIT,337581,1694781150494.933
47,1694781167533,1.01,0.0,0,0,COMMIT,337564,1694781167531.99
48,1694781176972,1.503,0.077,1,442,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 5\
              AND OL_O_ID < 20168\
              AND OL_O_ID >= 20148\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",337585,1694781176970.497
53,1694781481337,1.264,0.073,1,382,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 8\
              AND OL_O_ID < 20221\
              AND OL_O_ID >= 20201\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",337598,1694781481335.736
54,1694781734289,1.067,0.0,0,0,COMMIT,337599,1694781734287.933
55,1694781952256,1.003,0.0,0,0,ROLLBACK,337612,1694781952254.997
56,1694782046661,1.026,0.0,0,0,COMMIT,337610,1694782046659.974
57,1694782095880,1.066,0.0,0,0,COMMIT,337617,1694782095878.934
58,1694781182110,1.041,0.0,0,0,COMMIT,337624,1694781182108.959
63,1694781325969,1.095,0.0,0,0,COMMIT,337632,1694781325967.905
64,1694781782904,1.331,0.08,1,446,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 5\
              AND OL_O_ID < 20365\
              AND OL_O_ID >= 20345\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",337653,1694781782902.669
