Avg Threads Running,1,1,1.8,2.6,2.8,3.3000000000000003,4,5.1,6.1,6.666666666666667,7.375,10,10.142857142857142,10.333333333333332,11.8,12.4,13.5,14,15.5,15.5,15.5,9,9,9,9,43,43,43,43,43,43,43,43,43,43,61,74.5,91,109.75,130,118.33333333333333,107.42857142857142,102.87499999999999,104.33333333333331,108.79999999999998,109.8,112.22222222222223,110.75,102.85714285714285,84.83333333333333,89.8,101.75,112,110,71,15,15,15,15,15,15,15,15,15,15
Peak Threads Connected,1,1,9,9,9,9,9,12,12,12,12,22,22,22,22,22,22,22,22,22,22,9,9,9,9,43,43,43,43,43,43,43,43,43,43,61,88,124,166,211,211,211,211,211,211,211,211,211,211,149,149,149,149,149,71,15,15,15,15,15,15,15,15,15,15
Peak Threads Running,1,1,1,1,1,1,2,2,3,3,3,15,15,15,15,15,15,15,15,15,15,2,2,2,2,17,17,17,17,17,17,17,17,17,17,43,80,116,158,166,166,166,166,166,166,166,166,166,166,142,142,142,142,142,54,3,3,3,3,3,3,3,3,3,3
Questions,39,37.88888888888889,45.333333333333336,187.77777777777777,323.44444444444446,467.55555555555554,598.8888888888889,722.3333333333334,889.8888888888889,858.3200999999999,864.2259142857141,1282.79915714761,1124.366944201904,1005.0890195240132,875.9069968422804,1195.8957293399887,1201.996257018091,1152.3877405559515,1086.2931465732865,775.1787893946973,666.5494747373688,166.3555384615385,182.50378481012658,234.617731092437,309.41792767295595,612.8392060301508,724.7573235704324,763.8816794674859,800.1781755485894,811.0306406685238,949.3333333333334,879.4440000000001,831.0157714285713,765.7239333333333,498.78384000000005,386.6303,344.93513333333334,316.3443,317.58759999999995
Threads Created,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.4444444444444445,0.4311,0.4355428571428571,2.7725407563491187,2.526667290341358,2.5699885991164315,2.634134535482799,2.995008319467554,3.368683718028696,3.5637918745545263,1.0005002501250624,0.7139569784892447,0.6139069534767384,4.560974358974359,9.32006329113924,14.179389355742297,19.111503144654087,18.381346733668344,17.716016736401674,19.875291346646186,24.741734326018808,27.298050139275766,26.888888888888893,22.20165,17.857257142857144,13.133633333333332,13.15548,13.51935,11.469666666666667,6.555,2.5951999999999997
Created Tmp Disk Tables,9.11111111111111,8.88888888888889,9,8.88888888888889,9.11111111111111,9.11111111111111,9.11111111111111,9.222222222222223,8.88888888888889,7.652025,6.8598,8.983032050571143,7.90956716976425,7.0395339888841395,6.069962190460363,8.985024958402661,8.858390517779164,9.123307198859587,9.004502251125562,6.425612806403203,5.525162581290646,2.4005128205128208,3.05020253164557,3.9468403361344544,4.97975786163522,5.999467336683417,6.766534170153418,7.543032258064516,8.677195924764892,9.025069637883009,8.88888888888889,7.7598,6.8598,5.849433333333333,4.83492,4.04425,3.2598,2.0976,1.4598
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.22222222222222224,5.444444444444445,7.222222222222223,10.222222222222223,15,15.444444444444446,18.88888888888889,18.32175,18.510571428571428,25.840079849173783,20.43304852189098,18.995567906512754,16.377445155393055,16.08430393788131,17.592014971927632,15.680684248039915,11.255627813906951,8.032016008004003,6.906453226613307,0.7201538461538461,1.1861898734177214,1.3156134453781514,1.8842327044025158,9.701266331658292,13.410040446304043,13.290104454685098,13.250312695924766,12.924791086350975,14.88888888888889,14.010749999999998,13.937371428571428,13.575099999999997,6.858840000000001,3.2354,3.139066666666667,3.1464,3.4061999999999997
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30.111111111111114,28.888888888888893,29.888888888888893,28.111111111111114,30.444444444444446,28.888888888888893,30.22222222222222,29.77777777777778,28.444444444444446,23.818275,22.1038,27.61450593323722,24.9371076046734,21.3420792361408,18.897052102376602,28.175263449805875,28.945726762320646,29.93585174625802,30.515257628814403,21.775687843921965,18.72416208104052,6.001282051282052,8.642240506329113,11.694341736694678,15.343037735849057,18.89193969849246,21.406853556485355,23.46721146953405,28.142257053291537,29.303621169916436,29,25.327125000000002,22.43045714285714,18.983066666666666,15.516720000000001,12.9416,10.866,6.0306,3.7306
Sort Rows,100,90,90,80,90,90,100,100,90,67.89824999999999,68.59799999999998,79.8491737828546,79.0956716976425,70.39533988884139,51.53741482466346,79.86688851913478,78.60262008733625,89.80755523877406,90.04502251125561,64.25612806403203,55.251625812906454,43.449282051282054,30.671481012658226,39.76076190476191,48.855462264150944,69.56829145728643,78.24574058577406,76.14870660522273,95.91819278996866,91.14206128133705,80.88888888888889,78.4602,69.36019999999999,60.2602,40.928160000000005,31.54515,32.9602,11.9301,14.760199999999998
