,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
2,1694779639697,3.72,0.0,0,0,COMMIT,309983,1694779639693.28
5,1694779729381,1.058,0.0,0,0,COMMIT,309986,1694779729379.942
7,1694779746677,2.979,0.0,0,0,COMMIT,309989,1694779746674.021
8,1694779753647,1.197,0.0,0,0,COMMIT,309987,1694779753645.803
9,1694779797702,1.67,0.097,1,380,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 1\
              AND OL_O_ID < 20021\
              AND OL_O_ID >= 20001\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",309996,1694779797700.33
10,1694779824003,1.066,0.0,0,0,COMMIT,309994,1694779824001.934
11,1694779963402,1.177,0.0,0,0,COMMIT,309992,1694779963400.823
12,1694780031141,1.634,0.095,1,414,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 3\
              AND OL_O_ID < 20013\
              AND OL_O_ID >= 19993\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",310006,1694780031139.366
13,1694780060787,1.149,0.0,0,0,COMMIT,310000,1694780060785.851
14,1694780117131,1.048,0.0,0,0,COMMIT,309999,1694780117129.952
15,1694780176360,1.818,0.083,1,406,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 7\
              AND OL_O_ID < 20075\
              AND OL_O_ID >= 20055\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",310012,1694780176358.182
16,1694780234089,1.376,0.0,0,0,COMMIT,309997,1694780234087.624
17,1694780277007,1.165,0.0,0,0,COMMIT,310008,1694780277005.835
18,1694780370478,1.28,0.0,0,0,COMMIT,310007,1694780370476.72
19,1694780523569,1.095,0.0,0,0,COMMIT,310025,1694780523567.905
20,1694779576974,1.048,0.0,0,0,COMMIT,310022,1694779576972.952
21,1694779631847,11.889,0.0,0,0,COMMIT,310021,1694779631835.111
22,1694779662215,19.364,0.0,0,0,COMMIT,310032,1694779662195.636
23,1694779677505,2.279,0.0,0,0,ROLLBACK,310029,1694779677502.721
26,1694779707982,1.035,0.0,0,0,Quit,310034,1694779707980.965
29,1694779742380,1.158,0.0,0,0,COMMIT,310035,1694779742378.842
30,1694779823598,1.078,0.0,0,0,COMMIT,310033,1694779823596.922
31,1694779948427,1.065,0.0,0,0,COMMIT,310044,1694779948425.935
32,1694779963631,1.315,0.095,1,380,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 6\
              AND OL_O_ID < 19973\
              AND OL_O_ID >= 19953\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",310047,1694779963629.685
33,1694779967883,1.012,0.0,0,0,COMMIT,310030,1694779967881.988
